severity,severity_final,length,recDate,dispDate,ocat
1,2,683,18658,19341,1
0,0,1969,18825,20794,4
1,2,455,18658,19113,1
4,4,26,18732,18758,5
3,3,185,18628,18813,3
5,5,382,18628,19010,3
5,5,178,18628,18806,5
5,5,487,18628,19115,5
5,5,275,18628,18903,3
3,3,171,18628,18799,5
5,5,317,18628,18945,5
4,4,865,18628,19493,3
3,3,229,18628,18857,3
5,5,39,18628,18667,3
5,5,117,18628,18745,3
5,5,1420,18628,20048,3
3,3,423,18628,19051,3
5,5,45,18628,18673,3
3,3,80,18628,18708,3
3,3,145,18628,18773,3
5,5,286,18628,18914,3
5,5,27,18628,18655,5
4,4,332,18628,18960,3
5,5,17,18628,18645,5
5,5,48,18628,18676,5
5,5,346,18628,18974,5
5,5,297,18628,18925,3
5,5,54,18628,18682,1
5,5,76,18628,18704,5
3,3,128,18628,18756,3
5,5,59,18628,18687,5
3,3,166,18628,18794,5
5,5,160,18628,18788,5
1,1,275,18628,18903,5
3,4,324,18628,18952,3
5,5,480,18628,19108,3
5,5,76,18628,18704,5
5,5,93,18628,18721,5
3,3,257,18628,18885,5
5,5,139,18628,18767,5
5,5,194,18628,18822,5
5,5,4,18628,18632,1
3,3,62,18628,18690,5
3,3,48,18628,18676,5
3,3,104,18628,18732,5
2,2,60,18628,18688,5
5,5,242,18628,18870,5
5,5,195,18628,18823,2
5,5,75,18628,18703,5
3,3,131,18628,18759,5
3,4,205,18628,18833,5
5,5,250,18629,18879,3
5,5,26,18629,18655,5
3,3,75,18629,18704,5
5,5,23,18629,18652,5
3,3,25,18629,18654,5
3,3,361,18629,18990,5
3,3,485,18629,19114,3
5,5,45,18629,18674,5
3,3,444,18629,19073,5
5,5,78,18629,18707,2
5,5,95,18629,18724,2
3,6,267,18629,18896,5
5,5,88,18629,18717,5
1,1,149,18629,18778,3
5,5,443,18629,19072,5
3,3,85,18630,18715,3
3,3,28,18630,18658,3
5,5,71,18630,18701,5
5,5,424,18630,19054,5
3,6,142,18630,18772,5
3,3,394,18630,19024,5
3,3,91,18630,18721,1
3,3,65,18630,18695,1
3,3,212,18629,18841,3
3,3,92,18630,18722,1
3,3,65,18630,18695,1
3,3,65,18630,18695,1
4,4,199,18630,18829,5
3,5,283,18630,18913,1
1,2,238,18630,18868,1
5,5,289,18629,18918,5
4,4,434,18630,19064,5
4,4,37,18630,18667,5
3,3,44,18630,18674,1
3,3,44,18630,18674,1
2,5,99,18630,18729,1
0,2,829,18630,19459,4
5,5,179,18630,18809,1
0,2,1470,18630,20100,4
5,5,196,18630,18826,1
3,5,382,18630,19012,1
3,3,381,18630,19011,5
1,2,954,18630,19584,5
5,5,5,18629,18634,5
2,2,113,18630,18743,1
1,1,455,18630,19085,5
5,5,224,18630,18854,1
2,5,115,18630,18745,1
2,5,85,18630,18715,1
2,5,282,18630,18912,1
4,4,88,18630,18718,5
2,2,645,18630,19275,5
3,3,248,18628,18876,5
1,1,1325,18630,19955,5
5,5,193,18630,18823,1
4,4,143,18630,18773,5
2,2,101,18630,18731,1
2,5,343,18630,18973,1
4,4,44,18630,18674,1
5,5,226,18630,18856,1
4,4,15,18630,18645,2
3,3,233,18630,18863,5
5,5,45,18630,18675,1
4,4,72,18630,18702,5
5,5,36,18630,18666,1
1,2,206,18630,18836,1
5,5,165,18630,18795,5
4,4,686,18630,19316,1
4,4,101,18630,18731,5
5,5,889,18630,19519,1
4,4,218,18630,18848,5
5,5,137,18630,18767,1
4,4,45,18630,18675,5
3,3,588,18630,19218,3
4,5,1047,18630,19677,1
1,1,1422,18630,20052,3
5,5,409,18630,19039,5
3,3,536,18630,19166,5
4,4,231,18630,18861,5
5,5,226,18630,18856,2
3,6,151,18630,18781,5
3,3,191,18630,18821,5
4,4,107,18630,18737,5
2,2,66,18631,18697,5
5,5,7,18631,18638,5
1,3,399,18631,19030,5
3,3,517,18631,19148,5
1,3,535,18631,19166,5
5,5,196,18631,18827,5
1,3,400,18631,19031,5
1,3,400,18631,19031,5
1,3,535,18631,19166,5
2,2,189,18631,18820,1
5,5,90,18631,18721,1
3,3,76,18631,18707,5
5,5,22,18631,18653,5
5,5,77,18631,18708,5
5,5,154,18631,18785,1
3,3,400,18630,19030,5
0,2,959,18631,19590,4
5,5,51,18631,18682,1
5,5,143,18631,18774,1
5,5,104,18631,18735,5
3,5,90,18631,18721,1
1,3,664,18631,19295,5
5,5,195,18631,18826,5
5,5,617,18631,19248,1
3,3,148,18631,18779,5
5,5,436,18631,19067,1
5,5,41,18631,18672,1
5,5,1148,18631,19779,5
2,2,517,18631,19148,1
5,5,182,18631,18813,1
2,5,35,18631,18666,1
3,3,253,18631,18884,3
3,3,106,18631,18737,5
5,5,168,18631,18799,1
4,4,128,18631,18759,1
4,6,296,18631,18927,2
2,2,189,18631,18820,1
1,5,541,18631,19172,1
5,5,66,18631,18697,1
5,5,174,18631,18805,5
5,5,51,18631,18682,1
5,5,28,18631,18659,3
3,3,37,18631,18668,5
2,2,293,18631,18924,5
3,3,28,18631,18659,5
2,2,213,18631,18844,1
3,3,155,18631,18786,5
3,3,115,18631,18746,5
3,3,407,18631,19038,5
4,4,633,18630,19263,2
2,2,97,18631,18728,5
5,5,101,18631,18732,1
1,2,107,18631,18738,5
5,5,159,18629,18788,1
5,5,24,18628,18652,1
5,5,106,18631,18737,1
3,3,407,18631,19038,5
3,3,115,18631,18746,5
3,3,155,18631,18786,5
5,5,42,18631,18673,1
5,6,388,18631,19019,5
5,5,55,18631,18686,5
4,6,223,18631,18854,5
2,2,150,18631,18781,5
5,5,52,18631,18683,5
5,5,142,18631,18773,5
5,6,114,18631,18745,5
5,5,73,18631,18704,5
5,5,988,18631,19619,3
4,4,168,18631,18799,2
5,5,604,18631,19235,5
5,5,105,18632,18737,5
3,3,51,18632,18683,5
3,3,161,18632,18793,5
5,5,238,18632,18870,3
5,5,351,18632,18983,5
5,6,267,18632,18899,5
5,5,48,18632,18680,5
5,5,58,18631,18689,5
1,2,443,18632,19075,1
5,5,49,18632,18681,5
2,5,539,18632,19171,1
5,5,288,18632,18920,1
5,5,48,18632,18680,1
4,4,57,18632,18689,2
1,5,168,18632,18800,1
5,5,68,18632,18700,5
3,3,244,18632,18876,1
5,5,370,18631,19001,5
2,5,519,18632,19151,1
2,3,51,18632,18683,1
3,3,134,18631,18765,3
1,1,300,18632,18932,5
3,3,240,18632,18872,5
5,6,162,18632,18794,5
1,1,563,18631,19194,5
4,4,6,18632,18638,2
5,5,103,18632,18735,1
4,4,332,18631,18963,1
1,1,309,18630,18939,5
2,2,84,18632,18716,1
2,5,282,18632,18914,1
3,3,75,18632,18707,5
1,1,296,18628,18924,5
5,5,44,18632,18676,1
2,3,196,18632,18828,5
